ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price,Taste,Quality
921,nallakunta & vidyanagar,hyderabad,momos and pizza hub,400,2.9,80,"pizzas,fast food,chinese",nallakunta & vidyanagar,44,0.58,0.235294118,4.7,3.6
922,santoshnagar & saidabad,hyderabad,brista restaurant,350,3.8,100,"biryani,north indian,beverages,desserts,chinese",santoshnagar & saidabad,50,0.76,0.205882353,3.7,2.6
923,charminar,hyderabad,a1 fast food and nahari centre,150,2.9,80,"indian,biryani,chinese",charminar,58,0.58,0.088235294,4.7,3.8
924,tarnaka nacharam & malkajigiri,hyderabad,soul kitchen,500,4.1,50,chinese,tarnaka nacharam & malkajigiri,71,0.82,0.294117647,4.5,3.6
925,nallakunta & vidyanagar,hyderabad,dads kitchen,400,2.9,80,chinese,nallakunta & vidyanagar,40,0.58,0.235294118,3.6,2.9
926,somajiguda & khairtabad,hyderabad,baker's valley cake house,250,2.9,80,"pizzas,fast food",somajiguda & khairtabad,46,0.58,0.147058824,2.6,2.8
927,banjara hills,hyderabad,diamond bakery,350,2.9,80,pizzas  bakery,banjara hills,34,0.58,0.205882353,3.2,3.6
928,kharkhana & trimulgherry,hyderabad,balaji tiffins,150,4.1,20,south indian,kharkhana & trimulgherry,71,0.82,0.088235294,3.9,2.6
929,vanasthalipuram,hyderabad,subbayya gari hotel,250,3.9,500,south indian,vanasthalipuram,68,0.78,0.147058824,4.1,5
930,kothapet & dilsukhnagar,hyderabad,spice 9 restaurants,300,3.8,50,"biryani,north indian,indian",kothapet & dilsukhnagar,50,0.76,0.176470588,3.1,3.4
931,kothapet & dilsukhnagar,hyderabad,santrupti restaurant,400,2.9,80,"south indian,north indian,biryani",kothapet & dilsukhnagar,68,0.58,0.235294118,2.8,3.5
932,kothapet & dilsukhnagar,hyderabad,madhuban grand,350,3.7,20,"north indian,chinese,biryani,snacks,fast food,indian,seafood",kothapet & dilsukhnagar,51,0.74,0.205882353,4.6,2.6
933,uppal - hyderabad,hyderabad,shakesphere,250,2.9,80,"beverages,fast food",tarnaka nacharam & malkajigiri,72,0.58,0.147058824,5,3.6
934,bhavani nagar uppal - hyderabad,hyderabad,super naturals,250,2.9,80,beverages,tarnaka nacharam & malkajigiri,74,0.58,0.147058824,3.8,2.5
935,nallakunta & vidyanagar,hyderabad,go fresh the pizza house,300,4.2,20,"italian,pizzas,fast food",nallakunta & vidyanagar,43,0.84,0.176470588,2.9,2.6
936,nallakunta & vidyanagar,hyderabad,abu shawarmas,200,4.2,20,"arabian,lebanese",nallakunta & vidyanagar,45,0.84,0.117647059,3.2,3.3
937,banjara hills,hyderabad,haji ali fresh fruit juices,200,4.2,50,beverages  ice cream  fast food,banjara hills,69,0.84,0.117647059,2.5,4.6
