ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price
670,narayanguda,hyderabad,1441 pizzeria,400.0,4.1,500,"italian,pizzas,pastas,desserts,beverages",himayath nagar,33,0.82,0.23529411764705882
671,ramgopalpet,hyderabad,new sharma chat house,150.0,4.2,50,chaat  snacks  beverages,begumpet,58,0.8400000000000001,0.08823529411764706
672,chintal,hyderabad,lucky restaurant,300.0,4.0,10000,"biryani,tandoor,chinese,north indian,desserts,kebabs,mughlai",banjara hills,38,0.8,0.17647058823529413
673,kavadiguda,hyderabad,nice tiffins,200.0,4.1,20,south indian,nallakunta & vidyanagar,41,0.82,0.11764705882352941
674,kachiguda,hyderabad,new handi biryani,200.0,3.9,20,"chinese,biryani,kebabs,south indian,beverages",himayath nagar,29,0.78,0.11764705882352941
675,ameerpet,hyderabad,sai ganesh tiffins,50.0,4.0,100,street food  south indian,ameerpet,64,0.8,0.029411764705882353
676,himayatnagar,hyderabad,burger bros,200.0,4.0,100,snacks,chikkadpally,33,0.8,0.11764705882352941
677,moosarambagh,hyderabad,pista house bakery & restaurant,300.0,4.1,1000,"north indian,biryani,tandoor,chinese",kothapet & dilsukhnagar,42,0.82,0.17647058823529413
678,himayath nagar,hyderabad,gourmet ice cream cakes by baskin robbins,300.0,2.9,80,"desserts,ice cream,bakery",himayath nagar main road,32,0.58,0.17647058823529413
679,new nallakunta,hyderabad,kung pao kitchen,300.0,4.1,100,chinese,himayath nagar,34,0.82,0.17647058823529413
680,new nallakunta,hyderabad,jai bhavani spicy hot fast food centre,100.0,3.8,100,"street food,indian,chinese",chikkadpally,29,0.76,0.058823529411764705
681,toli chowki,hyderabad,arabesq - kunafa & shawarma,200.0,3.7,50,"arabian,lebanese,beverages,juices",mehdipatnam,66,0.74,0.11764705882352941
682,huda complex,hyderabad,burger eat's,300.0,2.9,80,"snacks,biryani,fast food",kothapet & dilsukhnagar,64,0.58,0.17647058823529413
683,himayath nagar,hyderabad,arancini,700.0,3.6,100,"pizzas,american,italian,snacks",human tekdi,37,0.72,0.4117647058823529
684,ameerpet,hyderabad,sri ganesh fruit juice,100.0,4.4,100,street food  indian  beverages,ameerpet,71,0.8800000000000001,0.058823529411764705
685,kachiguda,hyderabad,patel's chips and crisps,350.0,4.4,100,indian,himayath nagar,25,0.8800000000000001,0.20588235294117646
686,koti,hyderabad,the indiway,500.0,4.1,100,"north indian,biryani,mughlai,tandoor,snacks",human tekdi,41,0.82,0.29411764705882354
687,kavadiguda,hyderabad,rushty reataurant chat sandwich and juice,150.0,2.9,80,"fast food,beverages,juices",nallakunta & vidyanagar,51,0.58,0.08823529411764706
688,mehdipatnam,hyderabad,andhra meals,200.0,4.0,1000,south indian,mehdipatnam,46,0.8,0.11764705882352941
689,nagole,hyderabad,cake for you,250.0,4.4,20,"bakery,desserts",kothapet & dilsukhnagar,69,0.8800000000000001,0.14705882352941177
690,kothapet,hyderabad,the burger chefs,500.0,2.9,80,"pizzas,fast food,beverages",nagole x road,67,0.58,0.29411764705882354
691,ameerpet,hyderabad,hungry burger,200.0,2.9,80,chinese,ameerpet,70,0.58,0.11764705882352941
692,kothapet,hyderabad,viyaala vaari vindhu,300.0,4.0,50,south indian,kothapet & dilsukhnagar,58,0.8,0.17647058823529413
693,mehdipatnam,hyderabad,js fast food,250.0,2.9,80,"north indian,indian,snacks,beverages",tolichowki,61,0.58,0.14705882352941177
694,toli chowki,hyderabad,baithak,450.0,3.7,20,"continental,beverages",tolichowki,71,0.74,0.2647058823529412
695,sarvodaya colony,hyderabad,the mirchiesz,300.0,3.8,100,"chinese,biryani,indian",kothapet & dilsukhnagar,74,0.76,0.17647058823529413
696,somajiguda & khairtabad,hyderabad,theobroma,500.0,4.6,500,"desserts,bakery,beverages",somajiguda & khairtabad,52,0.9199999999999999,0.29411764705882354
697,santoshnagar & saidabad,hyderabad,shawarma station,289.0,3.1,20,"arabian,lebanese",santoshnagar & saidabad,58,0.62,0.17
698,abids & koti,hyderabad,ram ki bandi,300.0,4.1,100,south indian,himayath nagar,28,0.82,0.17647058823529413
699,uppal,hyderabad,baskin robbins,250.0,4.0,20,desserts  ice cream,nacharam,61,0.8,0.14705882352941177
700,tarnaka  nacharam & malkajigiri,hyderabad,chutney bowl,150.0,4.2,500,south indian,tarnaka  nacharam & malkajigiri,61,0.8400000000000001,0.08823529411764706
701,mehdipatnam,hyderabad,the hyderabad chicken haleem,150.0,3.2,20,haleem,mehdipatnam,53,0.64,0.08823529411764706
702,tarnaka nacharam & malkajigiri,hyderabad,maharashtrian kitchen,200.0,2.9,80,maharashtrian,tarnaka nacharam & malkajigiri,87,0.58,0.11764705882352941
703,tolichowki,hyderabad,fried chicken hub,325.0,4.2,100,continental,tolichowki,78,0.8400000000000001,0.19117647058823528
704,kothapet & dilsukhnagar,hyderabad,five star and koli hut,120.0,4.7,20,indian,kothapet & dilsukhnagar,54,0.9400000000000001,0.07058823529411765
705,abids & koti,hyderabad,the brooklyn creamery - healthy ice cream,200.0,3.9,20,"desserts,ice cream,healthy food",abids,35,0.78,0.11764705882352941
706,a.s. rao nagar & sainikpuri,hyderabad,sri sai ak tiffin centre,200.0,4.2,100,indian  south indian,a.s. rao nagar & sainikpuri,83,0.8400000000000001,0.11764705882352941
707,banjara hills,hyderabad,ab's-absolute barbecues,500.0,3.5,50,"barbecue,biryani,chinese",banjara hills,70,0.7,0.29411764705882354
708,uppal,hyderabad,waffee & co,200.0,4.4,50,"desserts,waffle",uppal,63,0.8800000000000001,0.11764705882352941
709,tolichowki,hyderabad,galaxy paradise,250.0,3.6,20,"biryani,chinese",tolichowki,69,0.72,0.14705882352941177
710,kharkhana & trimulgherry,hyderabad,balaji jainarayan mithai bhandar,300.0,3.8,20,sweets  snacks  bengali,kharkhana & trimulgherry,69,0.76,0.17647058823529413
711,banjara hills,hyderabad,the bedford bakehouse and tearoom,500.0,2.9,80,continental,banjara hills,74,0.58,0.29411764705882354
712,ameerpet,hyderabad,abhiruchi swagruha foods,250.0,4.5,100,sweets  snacks,ameerpet,62,0.9,0.14705882352941177
713,nallakunta & vidyanagar,hyderabad,tasty inn hyderabadi biryani,250.0,2.9,80,"biryani,indian,chinese,seafood",nallakunta & vidyanagar,43,0.58,0.14705882352941177
714,nallakunta & vidyanagar,hyderabad,chickden,250.0,4.1,20,"indian,arabian,chinese",nallakunta & vidyanagar,44,0.82,0.14705882352941177
715,kharkhana & trimulgherry,hyderabad,the moringa,150.0,4.1,100,south indian,kharkhana & trimulgherry,70,0.82,0.08823529411764706
716,himayath nagar,hyderabad,venkateshwara fast food,150.0,3.9,100,"indian,chinese,south indian",himayath nagar,27,0.78,0.08823529411764706
717,kothapet & dilsukhnagar,hyderabad,sri surya tiffins,150.0,2.9,80,"south indian,chinese,fast food,snacks",kothapet & dilsukhnagar,67,0.58,0.08823529411764706
718,santoshnagar & saidabad,hyderabad,zaheer juice center,200.0,2.9,80,"juices,beverages",santoshnagar & saidabad,35,0.58,0.11764705882352941
719,banjara hills,hyderabad,trio la patisserie,300.0,2.9,80,"bakery,desserts",banjara hills,58,0.58,0.17647058823529413
720,begumpet,hyderabad,trio la patisserie,400.0,2.9,80,bakery  desserts,begumpet,64,0.58,0.23529411764705882
721,lakdi ka pul,hyderabad,peshawar juice n ice cream,200.0,2.9,20,juices  beverages  desserts,lakdi ka pul,51,0.58,0.11764705882352941
722,tolichowki,hyderabad,surprise india - cakes & desserts,300.0,2.9,80,desserts,tolichowki,56,0.58,0.17647058823529413
723,kothapet & dilsukhnagar,hyderabad,belly's icecreams and thickshakes,300.0,2.9,80,"beverages,ice cream",kothapet & dilsukhnagar,46,0.58,0.17647058823529413
724,tarnaka nacharam & malkajigiri,hyderabad,manu s kitchen,500.0,4.1,100,"chinese,tandoor,seafood,biryani,indian",tarnaka nacharam & malkajigiri,68,0.82,0.29411764705882354
725,uppal,hyderabad,sh shawarma,200.0,2.9,80,arabian  fast food,uppal,47,0.58,0.11764705882352941
726,charminar,hyderabad,salasar chat and tiffin centre,100.0,4.2,50,south indian,shamsheergunj,61,0.8400000000000001,0.058823529411764705
727,charminar,hyderabad,pista house premium lounge,300.0,4.2,1000,"american,fast food,snacks",charminar,46,0.8400000000000001,0.17647058823529413
728,nallakunta & vidyanagar,hyderabad,guest house coffee and ice cream parlour,300.0,2.9,80,"fast food,pizzas,pastas,beverages",nallakunta & vidyanagar,52,0.58,0.17647058823529413
729,nallakunta & vidyanagar,hyderabad,radhe family dhaba,300.0,2.9,80,"indian,chinese",nallakunta & vidyanagar,41,0.58,0.17647058823529413
730,himayath nagar,hyderabad,santosh family dhaba,300.0,3.8,500,"north indian,biryani,chinese,tandoor,indian",himayath nagar,32,0.76,0.17647058823529413
731,nallakunta & vidyanagar,hyderabad,thaaliyan by phulkaas,200.0,3.8,100,"indian,mughlai",nallakunta & vidyanagar,38,0.76,0.11764705882352941
732,kothapet & dilsukhnagar,hyderabad,neapolitan pizza,150.0,2.9,80,pizzas,kothapet & dilsukhnagar,63,0.58,0.08823529411764706
