ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price
819,kothapet & dilsukhnagar,hyderabad,reddy vari biryani,250.0,2.9,80,"indian,biryani",kothapet & dilsukhnagar,72,0.58,0.14705882352941177
820,nallakunta & vidyanagar,hyderabad,polpat,300.0,2.9,80,indian,nallakunta & vidyanagar,50,0.58,0.17647058823529413
821,kothapet & dilsukhnagar,hyderabad,lalaji dilli wale,400.0,3.4,100,"north indian,chinese,salads",kothapet & dilsukhnagar,65,0.6799999999999999,0.23529411764705882
822,tarnaka nacharam & malkajigiri,hyderabad,punjabi tadka,250.0,2.9,80,"indian,punjabi,fast food",tarnaka nacharam & malkajigiri,77,0.58,0.14705882352941177
823,tolichowki,hyderabad,arabian grills,300.0,4.2,100,"arabian,beverages",tolichowki,61,0.8400000000000001,0.17647058823529413
824,kachiguda,hyderabad,pizza hut,300.0,2.9,80,pizzas,ph kachiguda hyderabad,34,0.58,0.17647058823529413
825,himayath nagar,hyderabad,dragon society,200.0,3.8,50,"chinese,south indian,north indian,fast food",himayath nagar,34,0.76,0.11764705882352941
826,charminar,hyderabad,snappy snacks point,200.0,3.4,20,"chinese,snacks",charminar,52,0.6799999999999999,0.11764705882352941
827,l.b nagar,hyderabad,mr chef mandi house,500.0,3.5,50,arabian,kothapet & dilsukhnagar,59,0.7,0.29411764705882354
828,himayath nagar,hyderabad,biryani society,200.0,2.9,80,"indian,biryani,combo",himayath nagar,37,0.58,0.11764705882352941
829,charminar,hyderabad,tajis food court,2.0,2.9,80,indian  south indian  chinese  arabian,charminar,68,0.58,0.001176470588235294
830,begumpet,hyderabad,vijju ki bandi,200.0,4.0,20,south indian  chaat  sweets,begumpet,61,0.8,0.11764705882352941
831,banjara hills,hyderabad,lassi & falooda co,200.0,2.9,80,"beverages,healthy food,juices",banjara hills,65,0.58,0.11764705882352941
832,santoshnagar & saidabad,hyderabad,sri sai ram darshini tiffins and meals,150.0,3.9,100,south indian,santoshnagar & saidabad,43,0.78,0.08823529411764706
833,ameerpet,hyderabad,shree sweets and naamkeen,499.0,2.9,80,sweets,ameerpet,76,0.58,0.29352941176470587
834,himayath nagar,hyderabad,theboardgamecafe,500.0,2.9,80,"indian,chinese",himayath nagar,39,0.58,0.29411764705882354
835,tolichowki,hyderabad,bombay kulfis,100.0,2.9,80,desserts,tolichowki,65,0.58,0.058823529411764705
836,tolichowki,hyderabad,mandistan,400.0,3.6,20,arabian,tolichowki,69,0.72,0.23529411764705882
837,banjara hills,hyderabad,wow! china,400.0,3.9,100,"tibetan,fast food,chinese,asian,snacks,continental,desserts,beverages",banjara hills,62,0.78,0.23529411764705882
838,banjara hills,hyderabad,nizami shawarma,250.0,2.9,80,"arabian,beverages",banjara hills,65,0.58,0.14705882352941177
839,sithaphalmandi,hyderabad,robin pizza den,200.0,2.9,80,"fast food,pizzas",nallakunta & vidyanagar,59,0.58,0.11764705882352941
840,tolichowki,hyderabad,shawarma spot,200.0,2.9,80,arabian,tolichowki,76,0.58,0.11764705882352941
841,himayath nagar,hyderabad,crumbled cheese,350.0,4.3,50,"italian,beverages,pizzas,pastas,desserts,mexican",himayath nagar,39,0.86,0.20588235294117646
842,banjara hills,hyderabad,vadapav & more,200.0,2.9,80,beverages,banjara hills,63,0.58,0.11764705882352941
843,himayath nagar,hyderabad,tasim - on the go,300.0,4.3,50,"north indian,snacks",himayath nagar,41,0.86,0.17647058823529413
844,kothapet & dilsukhnagar,hyderabad,golden dragon,150.0,2.9,80,fast food,kothapet & dilsukhnagar,57,0.58,0.08823529411764706
845,charminar,hyderabad,cravings,250.0,2.9,80,"fast food,snacks",charminar,58,0.58,0.14705882352941177
846,tolichowki,hyderabad,coconut juice bar,200.0,4.5,50,"beverages,desserts,healthy food,ice cream,snacks",tolichowki,64,0.9,0.11764705882352941
847,banjara hills,hyderabad,healing rice bowls,200.0,3.3,20,north indian,banjara hills,70,0.6599999999999999,0.11764705882352941
848,tolichowki,hyderabad,cane land,150.0,2.9,80,snacks  beverages,tolichowki,88,0.58,0.08823529411764706
849,kothapet & dilsukhnagar,hyderabad,gully lounge,493.0,2.9,80,"chinese,south indian,biryani,juices,beverages,ice cream",kothapet & dilsukhnagar,67,0.58,0.29
850,banjara hills,hyderabad,the sandwich story,200.0,2.9,80,"healthy food,snacks",banjara hills,72,0.58,0.11764705882352941
851,himayath nagar,hyderabad,bachelor burgers,200.0,3.4,20,"continental,italian",himayath nagar,47,0.6799999999999999,0.11764705882352941
852,kothapet & dilsukhnagar,hyderabad,bakers s street,450.0,2.9,80,fast food  bakery  desserts  beverages,kothapet & dilsukhnagar,58,0.58,0.2647058823529412
853,charminar,hyderabad,tameems shawarma,270.0,2.9,80,"arabian,snacks",charminar,61,0.58,0.1588235294117647
854,banjara hills,hyderabad,ath - all things healthy!,200.0,4.0,100,healthy food  indian  keto  snacks  bakery  north indian,banjara hills,63,0.8,0.11764705882352941
855,uppal,hyderabad,the waffle co,200.0,4.2,50,desserts  beverages,uppal,61,0.8400000000000001,0.11764705882352941
856,kothapet & dilsukhnagar,hyderabad,hungry treats,200.0,2.9,80,"mexican,pizzas,pastas",kothapet & dilsukhnagar,69,0.58,0.11764705882352941
857,himayath nagar,hyderabad,house of burger,150.0,2.9,80,"fast food,beverages",nampally,43,0.58,0.08823529411764706
858,banjara hills,hyderabad,zouq fusion foods,800.0,2.8,20,turkish,banjara hills,83,0.5599999999999999,0.47058823529411764
859,uppal,hyderabad,natural fruits and juices,200.0,3.8,20,juices  salads,uppal,57,0.76,0.11764705882352941
860,tolichowki,hyderabad,andhra gunpowder,280.0,4.4,1000,andhra,tolichowki,45,0.8800000000000001,0.16470588235294117
861,mehdipatnam,hyderabad,bakers magic,350.0,2.9,80,fast food,mehdipatnam,54,0.58,0.20588235294117646
862,banjara hills,hyderabad,kulfi & falooda project,200.0,2.7,20,"desserts,snacks,beverages,healthy food",banjara hills,67,0.54,0.11764705882352941
863,ameerpet,hyderabad,coastal chops,300.0,2.9,80,coastal  indian  seafood,ameerpet,75,0.58,0.17647058823529413
864,kothapet & dilsukhnagar,hyderabad,laddu ji,200.0,2.9,80,sweets,kothapet & dilsukhnagar,44,0.58,0.11764705882352941
865,kothapet & dilsukhnagar,hyderabad,cakes11,200.0,4.0,100,bakery  desserts,kothapet & dilsukhnagar,64,0.8,0.11764705882352941
866,nallakunta & vidyanagar,hyderabad,eat neat,200.0,4.2,100,"fast food,lebanese,continental,healthy food",nallakunta & vidyanagar,41,0.8400000000000001,0.11764705882352941
867,nallakunta & vidyanagar,hyderabad,i love combos,300.0,2.9,80,"continental,pizzas,beverages,fast food",nallakunta & vidyanagar,43,0.58,0.17647058823529413
868,nallakunta & vidyanagar,hyderabad,sandwich bristo,250.0,2.9,80,"european,snacks,fast food",nallakunta & vidyanagar,45,0.58,0.14705882352941177
869,nallakunta & vidyanagar,hyderabad,emi burger,400.0,2.9,80,"snacks,beverages,fast food",nallakunta & vidyanagar,45,0.58,0.23529411764705882
870,charminar,hyderabad,classic ice cream,200.0,2.9,80,"ice cream,desserts",charminar,55,0.58,0.11764705882352941
871,kothapet & dilsukhnagar,hyderabad,platform 65,400.0,3.3,20,"indian,north indian,chinese,desserts,beverages",kothapet & dilsukhnagar,64,0.6599999999999999,0.23529411764705882
872,somajiguda & khairtabad,hyderabad,new arabian mandi restaurant,400.0,2.9,80,arabian,somajiguda & khairtabad,63,0.58,0.23529411764705882
873,mehdipatnam,hyderabad,andhra meals and rolls zone,200.0,2.9,80,"south indian,indian",mehdipatnam,54,0.58,0.11764705882352941
874,ameerpet,hyderabad,the bakers dozen,350.0,4.7,20,bakery  beverages,ameerpet,67,0.9400000000000001,0.20588235294117646
875,kachiguda,hyderabad,kfc,400.0,3.8,20,american  snacks,kachiguda,45,0.76,0.23529411764705882
876,kothapet & dilsukhnagar,hyderabad,chai sutta bar dilsukhnagar,300.0,2.9,80,"beverages,fast food",kothapet & dilsukhnagar,50,0.58,0.17647058823529413
877,begumpet,hyderabad,tanisi multicuisine restaurant,300.0,2.9,80,"indian,chinese,biryani,continental",begumpet,58,0.58,0.17647058823529413
878,banjara hills,hyderabad,hero sandwiches,250.0,2.9,80,"fast food,salads,snacks,desserts",banjara hills,68,0.58,0.14705882352941177
879,khairtabad,hyderabad,hotel indu deluxe,400.0,4.9,20,"south indian,biryani",banjara hills,44,0.9800000000000001,0.23529411764705882
880,begumpet,hyderabad,kgf italian wood fire pizza,300.0,2.9,80,italian  pizzas,begumpet,77,0.58,0.17647058823529413
881,himayath nagar,hyderabad,patiala on the rocks,250.0,2.9,80,"beverages,snacks",himayath nagar,33,0.58,0.14705882352941177
882,banjara hills,hyderabad,mf biryani and shawarma,250.0,2.9,80,biryani,banjara hills,69,0.58,0.14705882352941177
883,himayath nagar,hyderabad,the burger dudes,250.0,2.9,80,"continental,fast food,snacks",himayath nagar,33,0.58,0.14705882352941177
884,mehdipatnam,hyderabad,bhavani tiffins,250.0,2.9,80,south indian,mehdipatnam,55,0.58,0.14705882352941177
885,banjara hills,hyderabad,momos momos,220.0,2.9,80,fast food,banjara hills,75,0.58,0.12941176470588237
886,banjara hills,hyderabad,meals101,350.0,4.0,100,"chinese,north indian,desserts,beverages",banjara hills,52,0.8,0.20588235294117646
887,kothapet & dilsukhnagar,hyderabad,millet express,200.0,4.2,1000,healthy food  south indian,kothapet & dilsukhnagar,54,0.8400000000000001,0.11764705882352941
888,himayath nagar,hyderabad,the shawarma daddy,150.0,2.2,50,"arabian,continental,snacks",himayath nagar,44,0.44000000000000006,0.08823529411764706
889,santosh nagar,hyderabad,oven story pizza,600.0,4.3,100,pizzas,santosh nagar,66,0.86,0.35294117647058826
890,ameerpet,hyderabad,hans kitchen,350.0,2.9,80,chinese  north indian,ameerpet,73,0.58,0.20588235294117646
891,asif nagar,hyderabad,falak restaurant and banquet hall,250.0,2.9,80,"biryani,chinese,mughlai",asif nagar,49,0.58,0.14705882352941177
892,himayath nagar,hyderabad,govindaas sweet and snacks,200.0,2.9,80,"snacks,fast food",himayath nagar,37,0.58,0.11764705882352941
893,himayath nagar,hyderabad,star santosh dhaba,300.0,3.4,20,"north indian,biryani,chinese,indian,tandoor",himayath nagar,32,0.6799999999999999,0.17647058823529413
894,himayath nagar,hyderabad,apple cut,300.0,3.9,50,healthy food  salads  chaat,himayath nagar,35,0.78,0.17647058823529413
895,kothapet & dilsukhnagar,hyderabad,cakes07,199.0,2.9,80,bakery,kothapet & dilsukhnagar,57,0.58,0.11705882352941177
896,kothapet & dilsukhnagar,hyderabad,the magical stone,200.0,2.9,80,"ice cream,beverages",kothapet & dilsukhnagar,53,0.58,0.11764705882352941
897,himayath nagar,hyderabad,panda momos,250.0,2.9,80,chinese,himayath nagar,39,0.58,0.14705882352941177
898,padmarao nagar,hyderabad,oh my shawarma,300.0,4.3,20,indian,padmaraonagar,55,0.86,0.17647058823529413
899,kothapet & dilsukhnagar,hyderabad,madhouse pizzas and thichshakes,300.0,2.9,80,"beverages,juices,salads",kothapet & dilsukhnagar,52,0.58,0.17647058823529413
900,kothapet & dilsukhnagar,hyderabad,mumbai kulfi kothapet,150.0,2.9,80,"ice cream,desserts",kothapet & dilsukhnagar,63,0.58,0.08823529411764706
901,hyderabad,hyderabad,saapaatu,250.0,2.9,80,"south indian,indian",himayath nagar,34,0.58,0.14705882352941177
902,kothapet & dilsukhnagar,hyderabad,as bakers,1400.0,2.9,80,"bakery,desserts",kothapet & dilsukhnagar,69,0.58,0.8235294117647058
903,kothapet & dilsukhnagar,hyderabad,chai vaai cafe,200.0,2.9,80,snacks  indian  chinese,kothapet & dilsukhnagar,55,0.58,0.11764705882352941
904,kothapet & dilsukhnagar,hyderabad,shri santosh family dhaba,300.0,3.9,500,"north indian,chinese,biryani",kothapet & dilsukhnagar,60,0.78,0.17647058823529413
905,himayath nagar,hyderabad,balaji family dhaba,350.0,3.4,50,indian  chinese,himayath nagar,46,0.6799999999999999,0.20588235294117646
906,banjara hills,hyderabad,dosa house restaurant,150.0,2.9,80,south indian  biryani,banjara hills,55,0.58,0.08823529411764706
907,banjara hills,hyderabad,kaati zone rolls and wraps,200.0,4.3,50,fast food  beverages,banjara hills,66,0.86,0.11764705882352941
908,banjara hills,hyderabad,burger it up,200.0,4.0,50,"american,continental,beverages,desserts,fast food",banjara hills,68,0.8,0.11764705882352941
909,banjara hills,hyderabad,kouzina kafe -the food court,200.0,4.2,50,"bakery,ice cream,desserts,beverages,american,fast food",banjara hills,65,0.8400000000000001,0.11764705882352941
910,himayath nagar,hyderabad,shawarma house,200.0,2.9,80,"arabian,snacks",himayath nagar,33,0.58,0.11764705882352941
911,nallakunta & vidyanagar,hyderabad,chichore cafe,600.0,2.9,80,italian  beverages,nallakunta & vidyanagar,51,0.58,0.35294117647058826
912,banjara hills,hyderabad,rotiwalaz food services,300.0,2.9,80,salads,banjara hills,39,0.58,0.17647058823529413
913,tarnaka  nacharam & malkajigiri,hyderabad,house of biryani,350.0,2.9,80,indian  biryani,tarnaka  nacharam & malkajigiri,72,0.58,0.20588235294117646
914,kothapet & dilsukhnagar,hyderabad,quality cakes,299.0,2.9,80,bakery  sweets  desserts,kothapet & dilsukhnagar,63,0.58,0.17588235294117646
915,nallakunta & vidyanagar,hyderabad,cranky fried chicken,300.0,2.9,80,"pizzas,combo,beverages",nallakunta & vidyanagar,42,0.58,0.17647058823529413
916,nallakunta & vidyanagar,hyderabad,thin wrap pizza co,400.0,2.9,80,pizzas,nallakunta & vidyanagar,43,0.58,0.23529411764705882
917,nallakunta & vidyanagar,hyderabad,the cheese lovers,280.0,2.9,80,"pizzas,beverages,fast food",nallakunta & vidyanagar,43,0.58,0.16470588235294117
918,nallakunta & vidyanagar,hyderabad,makhani pizzeria,450.0,2.9,80,pizzas,nallakunta & vidyanagar,40,0.58,0.2647058823529412
919,mehdipatnam,hyderabad,walima ki dawat,700.0,2.9,80,"biryani,hyderabadi,mughlai",mehdipatnam,61,0.58,0.4117647058823529
920,kothapet & dilsukhnagar,hyderabad,czars pizza,400.0,2.9,80,"italian,beverages,pizzas,snacks",kothapet & dilsukhnagar,55,0.58,0.23529411764705882
921,nallakunta & vidyanagar,hyderabad,momos and pizza hub,400.0,2.9,80,"pizzas,fast food,chinese",nallakunta & vidyanagar,44,0.58,0.23529411764705882
922,santoshnagar & saidabad,hyderabad,brista restaurant,350.0,3.8,100,"biryani,north indian,beverages,desserts,chinese",santoshnagar & saidabad,50,0.76,0.20588235294117646
923,charminar,hyderabad,a1 fast food and nahari centre,150.0,2.9,80,"indian,biryani,chinese",charminar,58,0.58,0.08823529411764706
924,tarnaka nacharam & malkajigiri,hyderabad,soul kitchen,500.0,4.1,50,chinese,tarnaka nacharam & malkajigiri,71,0.82,0.29411764705882354
925,nallakunta & vidyanagar,hyderabad,dads kitchen,400.0,2.9,80,chinese,nallakunta & vidyanagar,40,0.58,0.23529411764705882
926,somajiguda & khairtabad,hyderabad,baker's valley cake house,250.0,2.9,80,"pizzas,fast food",somajiguda & khairtabad,46,0.58,0.14705882352941177
927,banjara hills,hyderabad,diamond bakery,350.0,2.9,80,pizzas  bakery,banjara hills,34,0.58,0.20588235294117646
928,kharkhana & trimulgherry,hyderabad,balaji tiffins,150.0,4.1,20,south indian,kharkhana & trimulgherry,71,0.82,0.08823529411764706
929,vanasthalipuram,hyderabad,subbayya gari hotel,250.0,3.9,500,south indian,vanasthalipuram,68,0.78,0.14705882352941177
930,kothapet & dilsukhnagar,hyderabad,spice 9 restaurants,300.0,3.8,50,"biryani,north indian,indian",kothapet & dilsukhnagar,50,0.76,0.17647058823529413
931,kothapet & dilsukhnagar,hyderabad,santrupti restaurant,400.0,2.9,80,"south indian,north indian,biryani",kothapet & dilsukhnagar,68,0.58,0.23529411764705882
932,kothapet & dilsukhnagar,hyderabad,madhuban grand,350.0,3.7,20,"north indian,chinese,biryani,snacks,fast food,indian,seafood",kothapet & dilsukhnagar,51,0.74,0.20588235294117646
933,uppal - hyderabad,hyderabad,shakesphere,250.0,2.9,80,"beverages,fast food",tarnaka nacharam & malkajigiri,72,0.58,0.14705882352941177
934,bhavani nagar uppal - hyderabad,hyderabad,super naturals,250.0,2.9,80,beverages,tarnaka nacharam & malkajigiri,74,0.58,0.14705882352941177
935,nallakunta & vidyanagar,hyderabad,go fresh the pizza house,300.0,4.2,20,"italian,pizzas,fast food",nallakunta & vidyanagar,43,0.8400000000000001,0.17647058823529413
936,nallakunta & vidyanagar,hyderabad,abu shawarmas,200.0,4.2,20,"arabian,lebanese",nallakunta & vidyanagar,45,0.8400000000000001,0.11764705882352941
937,banjara hills,hyderabad,haji ali fresh fruit juices,200.0,4.2,50,beverages  ice cream  fast food,banjara hills,69,0.8400000000000001,0.11764705882352941
938,jubilee hills,hyderabad,nue cafe,800.0,3.9,20,"pastas,snacks,salads,juices,sweets,bakery,beverages,continental,italian",jubilee hills,73,0.78,0.47058823529411764
939,tolichowki,hyderabad,abu faisal restaurant arabian food,600.0,2.9,80,"indian,desserts",tolichowki,72,0.58,0.35294117647058826
940,nallakunta & vidyanagar,hyderabad,rhm bakers,199.0,2.9,80,bakery  pizzas  fast food  beverages,nallakunta & vidyanagar,54,0.58,0.11705882352941177
941,himayath nagar,hyderabad,southern flavours,350.0,4.1,20,"south indian,beverages,indian",himayath nagar,41,0.82,0.20588235294117646
942,ameerpet,hyderabad,chandigarh patiala dhaba,350.0,2.9,80,north indian  sweets,begumpet,62,0.58,0.20588235294117646
943,nallakunta & vidyanagar,hyderabad,arbab kitchen,280.0,2.9,80,"biryani,chinese,seafood",nallakunta & vidyanagar,45,0.58,0.16470588235294117
944,nallakunta & vidyanagar,hyderabad,biryani trip,350.0,4.4,50,biryani,nallakunta & vidyanagar,39,0.8800000000000001,0.20588235294117646
945,nallakunta & vidyanagar,hyderabad,paratha envy,280.0,2.9,80,north indian,nallakunta & vidyanagar,40,0.58,0.16470588235294117
946,nallakunta & vidyanagar,hyderabad,snack house,180.0,4.9,20,"fast food,snacks",nallakunta & vidyanagar,39,0.9800000000000001,0.10588235294117647
947,nallakunta & vidyanagar,hyderabad,momo monk,180.0,2.9,80,"chinese,snacks",nallakunta & vidyanagar,39,0.58,0.10588235294117647
948,himayath nagar,hyderabad,h.s.kitchens chilli and garlic,300.0,2.9,80,fast food  desserts,himayath nagar,45,0.58,0.17647058823529413
949,charminar,hyderabad,feel in saudia,200.0,2.9,80,"beverages,indian,lebanese",charminar,55,0.58,0.11764705882352941
950,secunderabad,hyderabad,grab a bowl,200.0,2.9,80,north indian  south indian  healthy food  juices,secunderabad,74,0.58,0.11764705882352941
951,tolichowki,hyderabad,treat on the street,250.0,2.9,80,"pizzas,fast food,pastas,snacks,italian,desserts,north indian,indian",tolichowki,75,0.58,0.14705882352941177
952,banjara hills,hyderabad,shahi mandi,350.0,2.9,80,indian,banjara hills,39,0.58,0.20588235294117646
953,himayath nagar,hyderabad,qaffeine coffee by ohri's,400.0,4.3,20,"beverages,desserts,snacks",himayath nagar,40,0.86,0.23529411764705882
954,uppal,hyderabad,smoothie bar,300.0,2.9,80,beverages,uppal,64,0.58,0.17647058823529413
955,uppal,hyderabad,homelyfit,300.0,2.9,80,healthy food  continental  indian  chinese,uppal,66,0.58,0.17647058823529413
956,tolichowki,hyderabad,khiljis castle,250.0,2.9,80,"arabian,snacks,fast food",tolichowki,78,0.58,0.14705882352941177
957,secunderabad,hyderabad,snack sutra,200.0,2.9,80,fast food  snacks  beverages,secunderabad,79,0.58,0.11764705882352941
958,nallakunta & vidyanagar,hyderabad,hyderabadish,300.0,4.2,20,"indian,biryani,kebabs",kavadiguda,45,0.8400000000000001,0.17647058823529413
959,uppal,hyderabad,biryani zone,280.0,2.9,80,"biryani,chinese,indian,snacks,arabian,combo",uppal,69,0.58,0.16470588235294117
960,kothapet & dilsukhnagar,hyderabad,ys mandi,400.0,2.9,80,"arabian,kebabs,biryani",kothapet & dilsukhnagar,44,0.58,0.23529411764705882
961,charminar,hyderabad,eat n treat,250.0,2.9,80,sweets,charminar,45,0.58,0.14705882352941177
962,kothapet & dilsukhnagar,hyderabad,guru raghavendra tiffins,100.0,2.9,80,"south indian,snacks,fast food,chaat",kothapet & dilsukhnagar,54,0.58,0.058823529411764705
963,banjara hills,hyderabad,bistro bites,350.0,2.9,80,"fast food,pizzas,american",banjara hills,52,0.58,0.20588235294117646
964,himayath nagar,hyderabad,te - a tea tradition,150.0,2.9,80,"beverages,snacks",himayath nagar,32,0.58,0.08823529411764706
965,uppal,hyderabad,the sandwich box,300.0,2.9,80,"continental,snacks",uppal,69,0.58,0.17647058823529413
966,uppal,hyderabad,kfc krishna food court,180.0,2.9,80,"indian,chinese",uppal,50,0.58,0.10588235294117647
967,kothapet,hyderabad,eatfit,270.0,4.0,100,"healthy food,pizzas,north indian,thalis,biryani",beside metro station,57,0.8,0.1588235294117647
968,mehdipatnam,hyderabad,labaan bakers and dairy,300.0,2.9,80,"italian,bakery",mehdipatnam,61,0.58,0.17647058823529413
969,himayath nagar,hyderabad,new royal kitchen,200.0,2.9,80,italian  beverages,himayath nagar,46,0.58,0.11764705882352941
970,himayath nagar,hyderabad,virat kitchen,300.0,2.9,80,north indian  chinese  tandoor  sweets  beverages,knowledge park,51,0.58,0.17647058823529413
971,himayath nagar,hyderabad,sobremesa - cakes and desserts,300.0,4.3,20,"bakery,desserts",himayath nagar,45,0.86,0.17647058823529413
972,himayath nagar,hyderabad,wallonia waffle co.,300.0,5.0,20,desserts,himayath nagar,45,1.0,0.17647058823529413
973,himayath nagar,hyderabad,splurge - thickshakes and milkshakes,300.0,5.0,20,desserts  ice cream  beverages,himayath nagar,45,1.0,0.17647058823529413
974,himayath nagar,hyderabad,the liege waffles,300.0,5.0,20,desserts  bakery,himayath nagar,45,1.0,0.17647058823529413
975,vanasthalipuram,hyderabad,the manufactory shakes,200.0,2.9,80,beverages,vanasthalipuram,69,0.58,0.11764705882352941
976,a.s. rao nagar & sainikpuri,hyderabad,balaji mohanlal mithai bhandar,200.0,2.9,80,sweets,a.s. rao nagar & sainikpuri,84,0.58,0.11764705882352941
977,uppal,hyderabad,shamaa hotel,300.0,3.8,20,"indian,north indian,chinese,seafood,biryani,tandoor,ice cream",uppal,73,0.76,0.17647058823529413
978,himayath nagar,hyderabad,gourmet gully,600.0,2.9,80,"continental,salads,pizzas,pastas,italian-american",himayath nagar,38,0.58,0.35294117647058826
979,jillelaguda,hyderabad,chai amruth,110.0,2.9,80,beverages,vanasthalipuram,64,0.58,0.06470588235294118
980,nallakunta & vidyanagar,hyderabad,tejus friends kitchen,200.0,2.9,80,indian  chinese,nallakunta & vidyanagar,42,0.58,0.11764705882352941
981,himayath nagar,hyderabad,the dessert bakers,200.0,4.5,20,bakery  desserts  snacks,himayath nagar,35,0.9,0.11764705882352941
982,kothapet & dilsukhnagar,hyderabad,rahmania chat corner,200.0,2.9,80,"indian,street food",kothapet & dilsukhnagar,49,0.58,0.11764705882352941
983,santoshnagar & saidabad,hyderabad,pista house bakery,200.0,3.9,500,"italian,ice cream,beverages,fast food,continental",santoshnagar & saidabad,50,0.78,0.11764705882352941
984,kothapet & dilsukhnagar,hyderabad,chitti in town robot restaurant,250.0,2.9,80,"indian,chinese,tandoor,seafood",kothapet & dilsukhnagar,61,0.58,0.14705882352941177
985,kothapet & dilsukhnagar,hyderabad,fries.com,300.0,2.9,80,"chinese,bakery,beverages",kothapet & dilsukhnagar,68,0.58,0.17647058823529413
986,kothapet & dilsukhnagar,hyderabad,a m shah haleem,500.0,2.9,80,indian,kothapet & dilsukhnagar,33,0.58,0.29411764705882354
987,kothapet & dilsukhnagar,hyderabad,sri raghavendra tiffins & meals,280.0,2.9,80,south indian,kothapet & dilsukhnagar,48,0.58,0.16470588235294117
988,banjara hills,hyderabad,mendys panipuri,300.0,2.9,80,"street food,chaat",banjara hills,69,0.58,0.17647058823529413
989,santoshnagar & saidabad,hyderabad,foodiez hub,140.0,2.9,80,"chinese,indian",santoshnagar & saidabad,35,0.58,0.08235294117647059
990,kothapet & dilsukhnagar,hyderabad,habibi hungry,200.0,4.6,50,"arabian,fast food",kothapet & dilsukhnagar,40,0.9199999999999999,0.11764705882352941
991,banjara hills,hyderabad,chulha chowki,350.0,2.9,80,"indian,chinese,kebabs,tandoor,biryani,snacks,beverages,desserts,arabian",banjara hills,55,0.58,0.20588235294117646
992,himayath nagar,hyderabad,delite pizza and shakes,200.0,2.9,80,"pizzas,beverages",himayath nagar,52,0.58,0.11764705882352941
993,nallakunta & vidyanagar,hyderabad,al ibrahim hotel,250.0,4.2,100,biryani,nallakunta & vidyanagar,42,0.8400000000000001,0.14705882352941177
994,ameerpet,hyderabad,sricanth dhaba,280.0,3.2,20,indian  chinese,ameerpet,69,0.64,0.16470588235294117
995,hyderguda old mla home,hyderabad,american bakers bakers & confectioners,250.0,2.9,80,fast food,hyderguda,36,0.58,0.14705882352941177
996,tolichowki,hyderabad,ttt juice center,150.0,2.9,80,beverages,tolichowki,61,0.58,0.08823529411764706
997,ramgopalpet,hyderabad,tea time,200.0,2.9,80,beverages,begumpet,63,0.58,0.11764705882352941
998,kothapet & dilsukhnagar,hyderabad,hunger's hub fastfood,250.0,2.9,80,"chinese,bakery,fast food",kothapet & dilsukhnagar,38,0.58,0.14705882352941177
999,uppal,hyderabad,pista house restaurant,400.0,4.0,500,"biryani,chinese,tandoor,ice cream,beverages",uppal,64,0.8,0.23529411764705882
1000,himayath nagar,hyderabad,hotel city point,200.0,2.9,80,"chinese,indian",himayath nagar,35,0.58,0.11764705882352941
1001,nallakunta & vidyanagar,hyderabad,wow! samosa,105.0,2.9,80,snacks,nallakunta & vidyanagar,36,0.58,0.061764705882352944
1002,kothapet & dilsukhnagar,hyderabad,sobremesa - cakes and dessets,300.0,4.4,20,bakery  desserts,kothapet & dilsukhnagar,74,0.8800000000000001,0.17647058823529413
1003,uppal,hyderabad,pista house bakery,200.0,4.0,500,"pizzas,salads",uppal,63,0.8,0.11764705882352941
1004,himayath nagar,hyderabad,monster pizza,140.0,2.9,80,pizzas,himayath nagar,35,0.58,0.08235294117647059
1005,uppal,hyderabad,pista house tea,100.0,4.2,50,beverages,uppal,63,0.8400000000000001,0.058823529411764705
1006,nallakunta & vidyanagar,hyderabad,durga's street delight's,200.0,2.9,80,"chinese,north indian,biryani",nallakunta & vidyanagar,41,0.58,0.11764705882352941
1007,himayath nagar,hyderabad,the tea planet  kachiguda,200.0,2.9,80,"beverages,snacks",himayath nagar,31,0.58,0.11764705882352941
1008,kothapet & dilsukhnagar,hyderabad,cherrys kitchen,200.0,2.9,80,"arabian,chinese,beverages",kothapet & dilsukhnagar,51,0.58,0.11764705882352941
1009,ashok nagar,hyderabad,c kitchen,250.0,2.9,80,chinese,ashok nagar,40,0.58,0.14705882352941177
1010,nallakunta & vidyanagar,hyderabad,vaishu's kitchen,300.0,2.9,80,"biryani,chinese",nallakunta & vidyanagar,48,0.58,0.17647058823529413
1011,mehdipatnam,hyderabad,tasty byte,250.0,2.9,80,"chinese,italian,beverages",mehdipatnam,61,0.58,0.14705882352941177
1012,charminar,hyderabad,msa juices shawarma fruits,200.0,2.9,80,"beverages,juices,indian",charminar,46,0.58,0.11764705882352941
1013,ameerpet,hyderabad,vishnu priya udipi tiffins & meals,250.0,2.9,80,chinese  south indian,ameerpet,66,0.58,0.14705882352941177
1014,himayath nagar,hyderabad,golden bistro,250.0,2.9,80,"chinese,fast food",himayath nagar,40,0.58,0.14705882352941177
1015,banjara hills,hyderabad,filful shawarma,250.0,2.9,80,"snacks,lebanese",banjara hills,78,0.58,0.14705882352941177
